street,house,repressed,longitude,latitude,distance from Kremlin
Балканский Б. пер.,д.19,1,37.645815,55.778806,3.4802640028
Балтийский  пос.,д.13,1,,,
Балчуг  ул.,д.1,11,37.625873,55.748235,0.692578375568
Балчуг  ул.,д.18,1,,,
Банковский  пер.,д.1,1,37.635036,55.762227,1.59835138967
Банный  пер.,д.3,3,37.636626,55.786384,4.01330588578
Банный  пер.,д.10,1,37.639617,55.785098,3.94039428843
Банный  пер.,д.14,1,37.639617,55.785098,3.94039428843
Баранова  ул.,д.11,1,,,
Барашевский  пер.,д.1,1,37.650046,55.759613,2.22994380909
Барашевский  пер.,д.8,1,37.649804,55.759071,2.19366430748
Барашевский  пер.,д.10,2,37.649804,55.759071,2.19366430748
Барашевский  пер.,д.12,2,37.651097,55.759420,2.28310316455
Баррикадная  ул.,д.8,3,37.581712,55.761604,2.45612396158
Баррикадная  ул.,д.17,1,37.579816,55.760428,2.51192213217
Баррикадная  ул.,д.19,6,37.579816,55.760428,2.51192213217
Барыковский  пер.,д.1,1,37.597684,55.741135,1.7128794859
Барыковский  пер.,д.5,2,37.596696,55.741277,1.74639118301
Барыковский  пер.,д.6,2,37.596794,55.741774,1.70452764407
Барыковский  пер.,д.7,1,37.596785,55.741419,1.73155040148
Барыковский  пер.,д.9,1,37.595815,55.741809,1.74809129449
Басманная Нов. ул.,д.4,37,37.653218,55.769155,2.95802137706
Басманная Нов. ул.,д.6,1,37.655140,55.768436,3.00165055839
Басманная Нов. ул.,д.10,27,37.656155,55.768988,3.08939627609
Басманная Нов. ул.,д.11,1,37.656496,55.769854,3.16573983691
Басманная Нов. ул.,д.12,3,37.657089,55.769433,3.16587962087
Басманная Нов. ул.,д.14,17,37.657502,55.769469,3.18878878387
Басманная Нов. ул.,д.16,2,37.659263,55.769332,3.26787757832
Басманная Нов. ул.,д.18,1,37.660853,55.769499,3.35946007484
Басманная Нов. ул.,д.19,2,37.659605,55.769879,3.32120011924
Басманная Нов. ул.,д.20,1,37.662389,55.769307,3.42624323005
Басманная Нов. ул.,д.23,4,37.660898,55.770659,3.43795317937
Басманная Нов. ул.,д.25,1,37.663342,55.769985,3.51800601861
Басманная Нов. ул.,д.28,2,37.666396,55.769474,3.64628063576
Басманная Нов. ул.,д.31,8,37.665497,55.770031,3.63258008163
Басманная Нов. ул.,д.41,1,37.668713,55.770552,3.83285118905
Басманная Нов. ул.,д.43,2,37.668713,55.770552,3.83285118905
Басманная Ст. ул.,д.1,2,37.656919,55.764511,2.85468397424
Басманная Ст. ул.,д.4,2,37.657844,55.764435,2.90133795449
Басманная Ст. ул.,д.5,1,37.656919,55.764511,2.85468397424
Басманная Ст. ул.,д.7,4,37.657350,55.764642,2.88532700699
Басманная Ст. ул.,д.11,1,37.658706,55.765407,3.00100783288
Басманная Ст. ул.,д.12,2,37.659461,55.764921,3.01602214776
Басманная Ст. ул.,д.13,3,37.659407,55.765377,3.03752631981
Басманная Ст. ул.,д.14,1,37.661114,55.764653,3.09371792421
Басманная Ст. ул.,д.17,1,37.661275,55.766471,3.19932072426
Басманная Ст. ул.,д.18,1,37.662758,55.765934,3.25102282812
Басманная Ст. ул.,д.19,2,37.661841,55.766410,3.226614039
Басманная Ст. ул.,д.20,10,37.664087,55.766430,3.3504005187
Басманная Ст. ул.,д.22,3,37.666360,55.766927,3.50175456395
Басманная Ст. ул.,д.24,2,37.667743,55.766749,3.56906741613
Басманная Ст. ул.,д.25,2,37.665884,55.767914,3.52922076603
Басманная Ст. ул.,д.28,3,37.667725,55.768086,3.63870806547
Басманная Ст. ул.,д.30,3,37.668040,55.768446,3.67561369647
Басманная Ст. ул.,д.33,1,37.667510,55.768745,3.66364693332
Басманная Ст. ул.,д.36,1,37.669899,55.768456,3.77750351071
Басманная Ст. ул.,д.38,1,37.669603,55.769231,3.80392779432
Басманный  туп.,д.6а,2,37.658176,55.766876,3.05736930215
Басманный  туп.,д.10,12,37.656892,55.767828,3.0498826218
Басманный 1-й пер.,д.4,2,37.663629,55.770573,3.57017895928
Басманный 1-й пер.,д.5,5,37.663422,55.771904,3.64739993605
Басманный 1-й пер.,д.6,1,37.663665,55.770846,3.58963650217
Басманный 1-й пер.,д.12,3,37.664105,55.771646,3.66430474521
Бауманская  пл.,д.9,1,37.676646,55.776867,4.64012595799
Бауманская  ул.,д.1,1,37.674795,55.777545,4.59382931146
Бауманская  ул.,д.2,2,37.674759,55.776593,4.5274023424
Бауманская  ул.,д.4,1,37.674759,55.776593,4.5274023424
Бауманская  ул.,д.7а,1,37.676646,55.776867,4.64012595799
Бауманская  ул.,д.9,1,37.676646,55.776867,4.64012595799
Бауманская  ул.,д.10,1,37.675289,55.776011,4.51534716932
Бауманская  ул.,д.13,4,37.677220,55.776102,4.61919735062
Бауманская  ул.,д.14,1,37.676035,55.775413,4.51444162949
Бауманская  ул.,д.16,2,37.676035,55.775413,4.51444162949
Бауманская  ул.,д.17,1,37.678532,55.775540,4.65088264385
Бауманская  ул.,д.20,3,37.677212,55.775241,4.5639592678
Бауманская  ул.,д.24,1,37.677840,55.774391,4.54398841768
Бауманская  ул.,д.26,1,37.677571,55.774173,4.5166541865
Бауманская  ул.,д.27,1,37.678757,55.774051,4.57172843073
Бауманская  ул.,д.28,5,37.678182,55.773363,4.5006056001
